0,1,Males,Ethnicity
Sharks' Treasure,"['Cornel Wilde', ' Yaphet Kotto', ' Cliff Osmond']",['Cornel Wilde'],"['Ashkenazi', 'Jewish']"
"Sheba, Baby","['Pam Grier', "" D'Urville Martin"", ' Austin Stoker']",['Austin Stoker'],
Sixpack Annie,"['Lindsay Bloom', ' Larry Mahan', ' Raymond Danton']",['Larry Mahan'],
Smile,"['Barbara Feldon', ' Bruce Dern']",['Bruce Dern'],"['German', 'English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'Dutch', 'Welsh']"
Smoke in the Wind,"['John Ashley', ' Walter Brennan', ' Myron Healey']",['John Ashley'],
The Specialist,"['Adam West', ' John Anderson', ' Ahna Capri']",['Adam West'],"['Swedish', 'English', 'Welsh', 'German', 'Irish', 'Scottish']"
The Spiral Staircase,"['Jacqueline Bisset', ' Christopher Plummer', ' John Phillip Law']",['Christopher Plummer'],"['Scottish', 'English', 'Northern', 'Irish', 'SwissFrench', 'FrenchCanadian']"
The Stepford Wives,"['Katharine Ross', ' Paula Prentiss', ' Tina Louise']",[],
The Strongest Man in the World,"['Kurt Russell', ' Joe Flynn', ' Phil Silvers']",['Kurt Russell'],"['English', 'German', 'Scottish', 'Irish']"
The Sunshine Boys,"['Walter Matthau', ' George Burns', ' Richard Benjamin']",['Walter Matthau'],"['Ashkenazi', 'Jewish']"
Supervixens,"['Charles Napier', ' Shari Eubank', ' Uschi Digard']",['Charles Napier'],
Switchblade Sisters,"['Asher Brauner', ' Don Stark', ' Marlene Clark']",['Asher Brauner'],
Take a Hard Ride,"['Jim Brown', ' Lee Van Cleef', ' Fred Williamson']",['Jim Brown'],"['AfricanAmerican', 'Nigerian']"
That's the Way of the World,"['Harvey Keitel', ' Ed Nelson', ' Bert Parks ']",['Harvey Keitel'],"['Ashkenazi', 'Jewish']"
Three Days of the Condor,"['Robert Redford', ' Faye Dunaway', ' Cliff Robertson']",['Robert Redford'],"['English', 'Irish', 'Scottish', 'Northern', 'IrishScotsIrish', 'Cornish']"
Thundercrack!,"['Marion Eaton', ' George Kuchar']",['George Kuchar'],
The Timber Tramps,"['Claude Akins', ' Leon Ames', ' Eve Brent']",['Claude Akins'],
Trucker's Woman,"['Michael Hawkins', ' Mary Cannon', ' Doodles Weaver']",['Michael Hawkins'],
Tubby the Tuba,"['Voices of Dick Van Dyke', ' Jack Gilford']",['Jack Gilford'],
The Ultimate Warrior,"['Yul Brynner', ' Max von Sydow', ' Joanna Miles']",['Yul Brynner'],"['Russian25', 'SwissGerman']"
W.W. and the Dixie Dancekings,"['Burt Reynolds', ' Conny Van Dyke', ' Ned Beatty', ' Jerry Reed', ' Art Carney']",['Burt Reynolds'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
Walking Tall Part 2,"['Bo Svenson', ' Luke Askew', ' John Davis Chandler']",['Luke Askew'],
Whiffs,"['Elliott Gould', ' Eddie Albert', ' Harry Guardino', "" Jennifer O'Neill""]",['Elliott Gould'],"['Ashkenazi', 'Jewish']"
White Line Fever,"['Jan-Michael Vincent', ' Slim Pickens', ' L. Q. Jones']",['Jan-Michael Vincent'],
The Wild McCullochs,"['Forrest Tucker', ' Julie Adams', ' Don Grady']",['Forrest Tucker'],
The Wild Party,"['Raquel Welch', ' James Coco', ' Perry King']",['James Coco'],
The Wind and the Lion,"['Sean Connery', ' Candice Bergen', ' John Huston', ' Geoffrey Lewis', ' Brian Keith']",['Sean Connery'],"['Scottish', 'Irish']"
