Year,Actor,Role,Movie,Link, Winner,Ethnicity
1999,Denzel Washingto,"Rubin ""The Hurricane"" Carter",The Hurricane,https://en.wikipedia.org//wiki/Rubin_Carter,False,['AfricanAmerican']
2000,Russell Crowe,Maximus Decimus Meridius,Gladiator,https://en.wikipedia.org//wiki/Gladiator_(2000_film),True,"['Welsh', 'English', 'Scottish', 'Irish', 'Māori', 'Norwegian', 'Swedish', 'German', 'Italian']"
2000,Javier Barde,Reinaldo Arenas,Before Night Falls,https://en.wikipedia.org//wiki/Before_Night_Falls_(film),False,"['Spanish', 'Castilian', 'Leónese', 'Basque', 'Catalan', 'British', 'Isles', 'Irish', 'English']"
2000,Tom Hank,Chuck Noland,Cast Away,https://en.wikipedia.org//wiki/Cast_Away,False,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
2000,Ed Harri,Jackson Pollock,Pollock,https://en.wikipedia.org//wiki/Jackson_Pollock,False,"['English', 'German', 'Scottish', 'Welsh']"
2000,Geoffrey Rus,Marquis de Sade,Quills,https://en.wikipedia.org//wiki/Quills,False,"['Irish', 'Scottish', 'German']"
2001,Denzel Washington,Detective Alonzo Harris,Training Day,https://en.wikipedia.org//wiki/Training_Day,True,['AfricanAmerican']
2001,Russell Crow,John Forbes Nash Jr.,A Beautiful Mind,https://en.wikipedia.org//wiki/A_Beautiful_Mind_(film),False,"['Welsh', 'English', 'Scottish', 'Irish', 'Māori', 'Norwegian', 'Swedish', 'German', 'Italian']"
2001,Sean Pen,Sam Dawson,I Am Sam,https://en.wikipedia.org//wiki/I_Am_Sam,False,"['Jewish', 'Italian', 'Irish']"
2001,Will Smit,Muhammad Ali,Ali,https://en.wikipedia.org//wiki/Muhammad_Ali,False,['AfricanAmerican']
2001,Tom Wilkinso,Dr. Matt Fowler,In the Bedroom,https://en.wikipedia.org//wiki/In_the_Bedroom,False,"['English', 'Scottish']"
2002,Adrien Brody,Władysław Szpilman,The Pianist,https://en.wikipedia.org//wiki/The_Pianist_(2002_film),True,"['Ashkenazi', 'Jewish25', 'Hungarian']"
2002,Nicolas Cag,Charlie Kaufman / Donald Kaufman,Adaptation,https://en.wikipedia.org//wiki/Adaptation_(film),False,"['Italian25', 'Polish1875', 'German625', 'British', 'Isles', 'English', 'Scottish']"
2002,Michael Cain,Thomas Fowler,The Quiet American,https://en.wikipedia.org//wiki/The_Quiet_American_(2002_film),False,"['English', 'Irish']"
2002,Daniel Day-Lewi,"William ""Bill the Butcher"" Cutting",Gangs of New York,https://en.wikipedia.org//wiki/Gangs_of_New_York,False,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
2002,Jack Nicholso,Warren R. Schmidt,About Schmidt,https://en.wikipedia.org//wiki/About_Schmidt,False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
2003,Sean Penn,Jimmy Markum,Mystic River,https://en.wikipedia.org//wiki/Mystic_River_(film),True,"['Jewish', 'Italian', 'Irish']"
2003,Johnny Dep,Captain Jack Sparrow,Pirates of the Caribbean: The Curse of the Black Pearl,https://en.wikipedia.org//wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
2003,Ben Kingsle,Colonel Massoud Amir Behrani,House of Sand and Fog,https://en.wikipedia.org//wiki/House_of_Sand_and_Fog_(film),False,"['Gujarati', 'Indianmaternal', 'Englishmaternal', 'Ashkenazi', 'Jewish']"
2003,Jude La,W. P. Inman,Cold Mountain,https://en.wikipedia.org//wiki/Cold_Mountain_(film),False,"['English', 'Welsh', 'Scottish']"
2003,Bill Murra,Bob Harris,Lost in Translation,https://en.wikipedia.org//wiki/Lost_in_Translation_(film),False,['Irish']
2004,Jamie Foxx,Ray Charles,Ray,https://en.wikipedia.org//wiki/Ray_Charles,True,['AfricanAmerican']
2004,Don Cheadl,Paul Rusesabagina,Hotel Rwanda,https://en.wikipedia.org//wiki/Hotel_Rwanda,False,['AfricanAmerican']
2004,Johnny Dep,J. M. Barrie,Finding Neverland,https://en.wikipedia.org//wiki/Finding_Neverland_(film),False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
