year,actor,movie,winner,ethnicity
1982,Ben Kingsley,Gandhi,True,"['Gujarati', 'Indianmaternal', 'Englishmaternal', 'Ashkenazi', 'Jewish']"
1982,Albert Finney,Shoot the Moon,False,[]
1982,Richard Gere,An Officer and a Gentleman,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'German', 'French']"
1982,Jack Lemmon,Missing,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1982,Paul Newman,The Verdict,False,"['Jewish', 'Slovak']"
1983,Tom Courtenay,The Dresser,True,"['English', 'Scottish', 'Irish', 'Northern', 'Irish']"
1983,Robert Duvall,Tender Mercies,False,"['English', 'German', 'SwissGerman', 'French', 'Welsh', 'Scottish']"
1983,Tom Conti,"Reuben, Reuben",False,[]
1983,Richard Farnsworth,The Grey Fox,False,[]
1983,Albert Finney,The Dresser,False,[]
1983,Al Pacino,Scarface,False,"['Italian', 'Sicilian', 'Neapolitan']"
1983,Eric Roberts,Star 80,False,"['English', 'German', 'Swedish', 'Irish', 'Scottish', 'Welsh', 'French']"
1984,F. Murray Abraham,Amadeus,True,['Italian']
1984,Jeff Bridges,Starman,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
1984,Albert Finney,Under the Volcano,False,[]
1984,Tom Hulce,Amadeus,False,"['English', 'German', 'Irish', 'Dutch']"
1984,Sam Waterston,The Killing Fields,False,"['English', 'Scottish']"
1985,Jon Voight,Runaway Train,True,['German']
1985,Harrison Ford,Witness,False,"['Irish', 'German', 'Ashkenazi', 'Jewish']"
1985,Gene Hackman,Twice in a Lifetime,False,"['English', 'German', 'Scottish', 'Dutch']"
1985,William Hurt,Kiss of the Spider Woman,False,"['English', 'German', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Swedish']"
1985,William Hurt,Kiss of the Spider Woman,False,"['English', 'German', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Swedish']"
1986,Bob Hoskins,Mona Lisa,True,"['English', 'Romani']"
1986,Harrison Ford,The Mosquito Coast,False,"['Irish', 'German', 'Ashkenazi', 'Jewish']"
1986,Dexter Gordon,Round Midnight,False,[]
1986,William Hurt,Children of a Lesser God,False,"['English', 'German', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Swedish']"
1986,Jeremy Irons,The Mission,False,"['English', 'Irish', 'Scottish']"
1986,Paul Newman,The Color of Money,False,"['Jewish', 'Slovak']"
1987,Michael Douglas,Wall Street,True,"['Ashkenazi', 'Jewish', 'English', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'Belgian', 'French']"
1987,John Lone,The Last Emperor,False,[]
