5 Card Stud,"['Dean Martin', ' Robert Mitchum', ' Inger Stevens']","['Western', ' mystery']"
The Stalking Moon,"['Gregory Peck', ' Eva Marie Saint']",['Western']
Star!,"['Julie Andrews', ' Daniel Massey', ' Richard Crenna']",['Biography']
"Stay Away, Joe","['Elvis Presley', ' Burgess Meredith', ' Katy Jurado']",['Western']
The Subject Was Roses,"['Patricia Neal', ' Jack Albertson', ' Martin Sheen']",['Drama']
The Sweet Ride,"['Anthony Franciosa', ' Michael Sarrazin', ' Jacqueline Bisset', ' Bob Denver']",['Drama']
Sweet November,"['Sandy Dennis', ' Anthony Newley']",['Drama']
The Swimmer,"['Burt Lancaster', ' Janice Rule', ' Marge Champion']",['Drama']
Targets,"['Boris Karloff', "" Tim O'Kelly""]",['Thriller']
They Came to Rob Las Vegas,"['Gary Lockwood', ' Elke Sommer', ' Lee J. Cobb']",['Crime']
The Thomas Crown Affair,"['Steve McQueen', ' Faye Dunaway']",['Crime']
Three in the Attic,"['Christopher Jones', ' Yvette Mimieux']",['Suspense']
Uptight,"['Ruby Dee', ' Raymond St. Jacques', ' Max Julien']",['Drama']
Villa Rides,"['Yul Brynner', ' Robert Mitchum', ' Charles Bronson']",['Western']
Vixen!,['Erica Gavin'],['Sexploitation']
Voyage to the Planet of Prehistoric Women,['Mamie Van Doren'],['Science fiction']
Walk the Angry Beach,['Rue McClanahan'],['Drama']
What's So Bad About Feeling Good?,"['George Peppard', ' Mary Tyler Moore', ' Dom DeLuise']",['Comedy']
"Where Angels Go, Trouble Follows","['Rosalind Russell', ' Stella Stevens', ' Binnie Barnes']",['Comedy']
Where Eagles Dare,"['Clint Eastwood', ' Richard Burton']",['War']
Where Were You When the Lights Went Out?,"['Doris Day', ' Robert Morse', "" Patrick O'Neal""]",['Comedy']
White Comanche,"['William Shatner', ' Joseph Cotten']",['Western']
The Wicked Dreams of Paula Schultz,"['Elke Sommer', ' Bob Crane', ' Werner Klemperer']",['Comedy']
Wild 90,"['Norman Mailer', ' Buzz Farbar', ' Mickey Knox']",['Experimental']
Wild in the Streets,"['Christopher Jones', ' Hal Holbrook', ' Shelley Winters', ' Richard Pryor']",['Drama']
The Wild Racers,"['Fabian', ' Judy Cornwell', ' Talia Shire']",['Action']
"The Wild, Wild World of Jayne Mansfield",['Jayne Mansfield'],['Documentary']
Will Penny,"['Charlton Heston', ' Joan Hackett', ' Bruce Dern']",['Western']
With Six You Get Eggroll,"['Doris Day', ' Brian Keith', ' Barbara Hershey']",['Comedy']
The Wrecking Crew,"['Dean Martin', ' Elke Sommer', ' Sharon Tate', ' Nancy Kwan']",['Spy']
"Yours, Mine and Ours","['Lucille Ball', ' Henry Fonda']",['Comedy']
