200 Motels,"['Frank Zappa', ' Ringo Starr', ' Theodore Bikel']","['comedy', ' musical']"
Cry Uncle!,"['Allen Garfield', ' Marcia Jean Kurtz', ' Debbi Morgan']",['comedy']
Day of the Wolves,"['Richard Egan', ' Martha Hyer', ' Jan Murray']",['crime drama']
The Deserter,"['Bekim Fehmiu', ' John Huston', ' Richard Crenna', ' Ricardo Montalbán', ' Chuck Connors']",['western']
Diamonds Are Forever,"['Sean Connery', ' Charles Gray', ' Jill St. John']",['Spy/action']
Desperate Characters,"['Shirley MacLaine', ' Kenneth Mars', ' Sada Thompson']",['drama']
Dirty Harry,"['Clint Eastwood', ' Andrew Robinson', ' Reni Santoni', ' Harry Guardino', ' John Vernon']","['drama', ' action']"
Doc,"['Stacy Keach', ' Faye Dunaway', ' Harris Yulin']",['western']
Doctors' Wives,"['Dyan Cannon', ' Richard Crenna', ' Gene Hackman']",['drama']
Dollars,"['Warren Beatty', ' Goldie Hawn', ' Gert Fröbe']","['crime', ' comedy']"
Dracula vs. Frankenstein,"['Lon Chaney', ' Jr.', ' J. Carrol Naish', ' Regina Carrol']",['horror']
"Drive, He Said","['William Tepper', ' Karen Black', ' Bruce Dern']",['drama']
Duel,"['Dennis Weaver', ' Jacqueline Scott', ' Carey Loftin']",['thriller']
Escape from the Planet of the Apes,"['Roddy McDowall', ' Kim Hunter', ' Sal Mineo']",['science fiction']
Evel Knievel,"['George Hamilton', ' Sue Lyon', ' Bert Freed']",['biography']
Fiddler on the Roof,"['Topol', ' Norma Crane', ' Molly Picon', ' Paul Mann', ' Leonard Frey', ' Rosalind Harris', ' Michele Marsh']",['musical']
Fools' Parade,"['James Stewart', ' Kurt Russell', ' George Kennedy']","['crime', ' drama']"
Four Rode Out,"['Sue Lyon', ' Leslie Nielsen', ' María Martín']",['western']
The French Connection,"['Gene Hackman', ' Roy Scheider', ' Fernando Rey']","['crime', ' drama']"
The Gang That Couldn't Shoot Straight,"['Jerry Orbach', ' Leigh Taylor-Young', ' Robert De Niro']",['comedy']
The Gatling Gun,"['Guy Stockwell', ' BarBara Luna', ' Woody Strode']",['Western']
Going Home,"['Robert Mitchum', ' Brenda Vaccaro', ' Sally Kirkland']",['drama']
The Grissom Gang,"['Kim Darby', ' Scott Wilson', ' Tony Musante']",['crime']
A Gunfight,"['Kirk Douglas', ' Johnny Cash', ' Karen Black']",['western']
Hannie Caulder,"['Raquel Welch', ' Ernest Borgnine', ' Robert Culp', ' Strother Martin', ' Jack Elam', ' Christopher Lee']",['western']
"Happy Birthday, Wanda June","['Rod Steiger', ' Don Murray', ' Susannah York']",['comedy']
The Hard Ride,"['Robert Fuller', ' Sherry Bain', ' Tony Russel']",['action']
Harold and Maude,"['Bud Cort', ' Ruth Gordon', ' Vivian Pickles']",['comedy']
The Hellstrom Chronicle,['Lawrence Pressman'],['mockumentary']
The Hired Hand,"['Peter Fonda', ' Warren Oates', ' Verna Bloom ']",['western']
The Horsemen,"['Omar Sharif', ' Leigh Taylor-Young', ' Jack Palance']",['adventure']
The Hospital,"['George C. Scott', ' Diana Rigg', ' Barnard Hughes']",['drama']
How to Frame a Figg,"['Don Knotts', ' Joe Flynn', ' Yvonne Craig']",['comedy']
The Hunting Party,"['Gene Hackman', ' Oliver Reed', ' Candice Bergen']",['western']
The Incredible 2-Headed Transplant,"['Bruce Dern', ' Pat Priest']",['sci-fi']
Jennifer on My Mind,"['Michael Brandon', ' Tippy Walker', ' Steve Vinovich']",['Drama']
Johnny Got His Gun,"['Timothy Bottoms', ' Diane Varsi', ' Donald Sutherland']","['drama', ' war']"
Kidnapped,"['Michael Caine', ' Trevor Howard', ' Donald Pleasence']",['drama']
Klute,"['Jane Fonda', ' Donald Sutherland', ' Roy Scheider']",['mystery']
Kotch,"['Walter Matthau', ' Deborah Winters', ' Felicia Farr']",['comedy']
The Last Movie,"['Dennis Hopper', ' Toni Basil', ' Julie Adams']",['drama']
The Last Picture Show,"['Jeff Bridges', ' Timothy Bottoms', ' Cybill Shepherd', ' Cloris Leachman', ' Ben Johnson', ' Ellen Burstyn', ' Eileen Brennan', ' Randy Quaid']",['drama']
The Last Rebel,"['Joe Namath', ' Jack Elam', ' Woody Strode']",['Western']
The Last Run,"['George C. Scott', ' Tony Musante', ' Trish Van Devere']",['action']
Lawman,"['Burt Lancaster', ' Robert Ryan', ' Lee J. Cobb', ' Sheree North', ' J.D. Cannon', ' Albert Salmi', ' Robert Duvall']",['western']
Le Mans,"['Steve McQueen', ' Siegfried Rauch']",['action']
Let's Scare Jessica to Death,"['Zohra Lampert', "" Kevin O'Connor"", ' Gretchen Corbett']",['horror']
The Light at the Edge of the World,"['Kirk Douglas', ' Yul Brynner', ' Samantha Eggar']",['adventure']
Little Murders,"['Elliott Gould', ' Marcia Rodd', ' Doris Roberts', ' Elizabeth Wilson', ' Vincent Gardenia']",['comedy']
The Love Machine,"['Dyan Cannon', ' John Phillip Law', ' Robert Ryan']",['drama']
Made for Each Other,"['Renée Taylor', ' Joseph Bologna', ' Paul Sorvino']",['romantic comedy']
Making It,"['Kristoffer Tabori', ' Carol Arthur', ' Bob Balaban']",['Drama']
Man and Boy,['Bill Cosby'],['Western']
Man in the Wilderness,"['Richard Harris', ' John Huston', ' Henry Wilcoxon']",['western']
The Marriage of a Young Stockbroker,"['Richard Benjamin', ' Joanna Shimkus', ' Adam West']",['drama']
McCabe & Mrs. Miller,"['Warren Beatty', ' Julie Christie', ' William Devane', ' René Auberjonois', ' Keith Carradine']",['western']
The Mephisto Waltz,"['Alan Alda', ' Jacqueline Bisset', ' Barbara Parkins']",['horror']
The Million Dollar Duck,"['Dean Jones', ' Sandy Duncan', ' Tony Roberts']",['family']
Minnie and Moskowitz,"['John Cassavetes', ' Gena Rowlands', ' Seymour Cassel']",['romantic comedy']
Mrs. Pollifax-Spy,"['Rosalind Russell', ' Darren McGavin', ' Nehemiah Persoff']",['mystery']
Murders in the Rue Morgue,"['Jason Robards', ' Herbert Lom']",['suspense']
My Old Man's Place,"['Arthur Kennedy', ' Mitchell Ryan', ' William Devane']",['Drama']
Necromania,"['Maria Arnold', ' Ed Wood']",['horror']
A New Leaf,"['Walter Matthau', ' Elaine May', ' James Coco', ' Jack Weston', ' Doris Roberts']",['comedy']
The Night God Screamed,"['Jeanne Crain', ' Alex Nicol', ' Daniel Spelling', ' Michael Sugich', ' Barbara Hancock', ' Dawn Cleary', ' Gary Morgan']",['psychological horror']
Night of Dark Shadows,"['Kate Jackson', ' David Selby', ' Lara Parker']",['mystery']
Octaman,"['Pier Angeli', ' Jeff Morrow']",['sci-fi']
The Omega Man,"['Charlton Heston', ' Rosalind Cash', ' Anthony Zerbe']",['sci-fi']
One More Train to Rob,"['George Peppard', ' Diana Muldaur', ' John Vernon']",['western']
The Organization,"['Sidney Poitier', ' Barbara McNair', ' Sheree North']",['Crime']
The Panic in Needle Park,"['Al Pacino', ' Kitty Winn', ' Kiel Martin']",['drama']
Pink Narcissus,"['Don Brooks', ' Charles Ludlam']",['fantasy']
Play Misty for Me,"['Clint Eastwood', ' Jessica Walter', ' Donna Mills']",['thriller']
Plaza Suite,"['Walter Matthau', ' Lee Grant', ' Maureen Stapleton', ' Barbara Harris']",['comedy']
Pretty Maids All in a Row,"['Rock Hudson', ' Angie Dickinson', ' Telly Savalas']",['Mystery comedy']
Private Duty Nurses,"['Katherine Cannon', ' Robert F. Simon']",['Thriller']
Punishment Park,['Scott Turner'],['mockumentary']
The Pursuit of Happiness,"['Michael Sarrazin', ' Barbara Hershey', ' Robert Klein']",['drama']
Raid on Rommel,"['Richard Burton', ' John Colicos', ' Wolfgang Preiss']",['war']
Red Sky at Morning,"['Desi Arnaz', ' Jr.', ' Catherine Burns', ' Richard Crenna']",['drama']
The Resurrection of Zachary Wheeler,"['Angie Dickinson', ' Bradford Dillman', ' Leslie Nielsen']",['sci-fi']
The Return of Count Yorga,"['Robert Quarry', ' Mariette Hartley']",['horror']
A Safe Place,"['Jack Nicholson', ' Tuesday Weld', ' Orson Welles']",['drama']
The Sandpit Generals,"['Tisha Sterling', ' Dorival Caymmi', ' John Rubinstein']",['drama']
Scandalous John,"['Brian Keith', ' Alfonso Arau', ' Michele Carey']",['Comedy drama']
The Seven Minutes,"['Edy Williams', ' Yvonne De Carlo', ' Tom Selleck']",['drama']
Shaft,"['Richard Roundtree', ' Moses Gunn']","['crime', ' action']"
Shoot Out,"['Gregory Peck', ' Patricia Quinn', ' Susan Tyrrell']",['western']
"Simon, King of the Witches",['Allyson Ames'],['horror']
The Ski Bum,"['Zalman King', ' Charlotte Rampling', ' Dimitra Arliss']",['Drama']
Skin Game,"['James Garner', ' Louis Gossett', ' Jr.', ' Susan Clark']","['western', ' comedy']"
Something Big,"['Dean Martin', ' Brian Keith', ' Ben Johnson', ' Carol White', ' Honor Blackman']",['western']
Sometimes a Great Notion,"['Paul Newman', ' Henry Fonda', ' Lee Remick', ' Michael Sarrazin', ' Richard Jaeckel']",['adventure']
Soul to Soul,"['Tina Turner', ' Ike Turner', ' Carlos Santana']",['documentary']
Star Spangled Girl,"['Sandy Duncan', ' Tony Roberts']",['comedy']
The Steagle,"['Richard Benjamin', ' Chill Wills', ' Cloris Leachman]']",['Comedy']
Straw Dogs,"['Dustin Hoffman', ' Susan George', ' David Warner']",['Thriller']
Such Good Friends,"['Dyan Cannon', ' James Coco', "" Jennifer O'Neill""]","['comedy', ' drama']"
Summer of '42,"[""Jennifer O'Neill"", ' Gary Grimes', ' Jerry Houser']",['drama']
Summertree,"['Michael Douglas', ' Brenda Vaccaro', ' Barbara Bel Geddes']",['drama']
Support Your Local Gunfighter!,"['James Garner', ' Suzanne Pleshette', ' Harry Morgan']",['comedy']
Sweet Sweetback's Baadasssss Song,"['Melvin Van Peebles', ' John Amos']",['crime drama']
THX 1138,"['Robert Duvall', ' Donald Pleasence', ' Ian Wolfe', ' Don Pedro Colley']",['science fiction']
T.R. Baskin,"['Candice Bergen', ' Peter Boyle', ' James Caan']",['drama']
Taking Off,"['Lynn Carlin', ' Buck Henry', ' Georgia Engel']",['comedy']
There's Always Vanilla,['Raymond Laine'],['drama']
They Might Be Giants,"['George C. Scott', ' Joanne Woodward']",['mystery']
The Todd Killings,"['Robert F. Lyons', ' Richard Thomas', ' Belinda Montgomery']",['Thriller']
The Touch,"['Elliott Gould', ' Bibi Andersson', ' Max von Sydow']",['drama']
The Touch of Satan,['Michael Berry'],['horror']
A Town Called Bastard,"['Robert Shaw', ' Stella Stevens', ' Telly Savalas']",['western']
T.R. Baskin,"['Candice Bergen', ' Peter Boyle', ' James Caan']",['Drama']
The Trojan Women,"['Katharine Hepburn', ' Vanessa Redgrave', ' Geneviève Bujold', ' Irene Papas']",['drama']
Two-Lane Blacktop,"['Warren Oates', ' James Taylor', ' Dennis Wilson']",['drama']
Valdez Is Coming,"['Burt Lancaster', ' Susan Clark', ' Jon Cypher']",['western']
Vanishing Point,"['Barry Newman', ' Cleavon Little', ' Dean Jagger']",['action']
The Velvet Vampire,"['Celeste Yarnall', ' Michael Blodgett']",['Horror']
Villain,"['Richard Burton', ' Ian McShane']",['crime']
Von Richthofen and Brown,"['John Phillip Law', ' Don Stroud', ' Corin Redgrave']",['war']
Wake in Fright,"['Donald Pleasence', ' Gary Bond', ' Chips Rafferty']",['Thriller']
Welcome to the Club,"['Jack Warden', "" Kevin O'Connor"", ' Al Mancini']",['Comedy']
Werewolves on Wheels,"['Billy Gray', ' Stephen Oliver', ' Barry McGuire']","['horror', ' action']"
What's the Matter with Helen?,"['Debbie Reynolds', ' Shelley Winters', ' Dennis Weaver']",['thriller']
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,"['Dustin Hoffman', ' Jack Warden', ' Barbara Harris']",['comedy']
Who Killed Mary What's 'Er Name?,"['Red Buttons', ' Sam Waterston']",['mystery']
Wild Rovers,"['William Holden', "" Ryan O'Neal"", ' Karl Malden', ' Joe Don Baker', ' Tom Skerritt']",['western']
Willard,"['Bruce Davison', ' Ernest Borgnine', ' Elsa Lanchester']",['horror']
Willy Wonka & the Chocolate Factory,"['Gene Wilder', ' Jack Albertson', ' Peter Ostrum']","['musical', ' fantasy']"
Women in Cages,"['Pam Grier', ' Jennifer Gan', ' Roberta Collins']",['action']
You've Got to Walk It Like You Talk It or You'll Lose That Beat,"['Allen Garfield', ' Richard Pryor']","['drama', ' comedy']"
The Young Graduates,"['Bruno Kirby', ' Dennis Christopher']",['Drama']
Zachariah,"['John Rubinstein', ' Dick Van Patten', ' Don Johnson']",['western']
The Zodiac Killer,"['Hal Reed', ' Bob Jones', ' Ray Lynch', ' Tom Pittman']",['crime drama']
