He Hired the Boss,"['Stuart Erwin', ' Evelyn Venable', ' Vivian Blaine']",['Comedy']
He's My Guy,"['Dick Foran', ' Irene Hervey', ' Joan Davis']",['Musical']
"Hello, Frisco, Hello","['Alice Faye', ' John Payne', ' Jack Oakie']",['Comedy']
Henry Aldrich Gets Glamour,"['Jimmy Lydon', ' Olive Blakeney']",['Comedy']
Henry Aldrich Haunts a House,"['Jimmy Lydon', ' Olive Blakeney']",['Comedy']
Henry Aldrich Swings It,"['Jimmy Lydon', ' John Litel', ' Olive Blakeney']",['Comedy']
Here Comes Elmer,"['Al Pearce', ' Dale Evans', ' Gloria Stuart']",['Comedy']
Here Comes Kelly,"['Eddie Quillan', ' Joan Woodbury', ' Armida']",['Comedy']
Hers to Hold,"['Deanna Durbin', ' Joseph Cotten']",['Romance']
"Hi, Buddy","['Dick Foran', ' Harriet Nelson', ' Marjorie Lord']",['Musical']
Hi Diddle Diddle,"['Adolphe Menjou', ' Martha Scott', "" Dennis O'Keefe""]",['Comedy']
High Explosive,"['Jean Parker', ' Chester Morris']",['Drama']
His Butler's Sister,"['Deanna Durbin', ' Franchot Tone']",['Comedy']
Hit Parade of 1943,"['Susan Hayward', ' Gail Patrick', ' Eve Arden']",['Musical']
Hit the Ice,"['Abbott and Costello', ' Ginny Simms', ' Patric Knowles']",['Comedy']
Hitler's Children,"['Tim Holt', ' Bonita Granville', ' Kent Smith']",['Propaganda']
Hitler's Madman,"['Patricia Morison', ' Alan Curtis']",['Drama']
"Hi'ya, Chum","['Ritz Brothers', ' Jane Frazee']",['Comedy']
"Hi'ya, Sailor","['Donald Woods', ' Elyse Knox']",['Musical comedy']
Holy Matrimony,"['Monty Woolley', ' Gracie Fields']",['Comedy']
Honeymoon Lodge,"['David Bruce', ' Harriet Hilliard', ' June Vincent']",['Musical comedy']
Hoosier Holiday,"['Dale Evans', ' Isabel Randolph']",['Musical']
Hoppy Serves a Writ,"['William Boyd', ' George Reeves', ' Robert Mitchum']",['Western']
Hostages,"['Luise Rainer', ' William Bendix']",['War']
How's About It,"['The Andrews Sisters', ' Grace McDonald']",['Musical']
The Human Comedy,['Mickey Rooney'],['Drama']
I Dood It,"['Red Skelton', ' Eleanor Powell']",['Musical–Comedy']
I Escaped from the Gestapo,"['Dean Jagger', ' John Carradine', ' Mary Brian']",['Thriller']
I Walked with a Zombie,"['Frances Dee', ' Tom Conway']",['Horror']
Idaho,"['Roy Rogers', ' Virginia Grey']",['Western']
Immortal Sergeant,"['Henry Fonda', "" Maureen O'Hara""]",['War']
In Old Oklahoma,"['John Wayne', ' Martha Scott', ' Dale Evans']",['Western']
The Iron Major,"[""Pat O'Brien"", ' Ruth Warrick']",['Biographical']
Is Everybody Happy?,"['Ted Lewis', ' Larry Parks']",['Comedy']
Isle of Forgotten Sins,"['Gale Sondergaard', ' John Carradine']",['Adventure']
It Ain't Hay,"['Abbott and Costello', ' Grace McDonald']",['Comedy']
It Comes Up Love,"['Gloria Jean', "" Donald O'Connor"", ' Ian Hunter']",['Musical']
It's a Great Life,"['Penny Singleton', ' Arthur Lake']",['Comedy']
Jack London,"[""Michael O'Shea"", ' Susan Hayward']",['Bio-pic']
Jane Eyre,"['Orson Welles', ' Joan Fontaine']",['Drama']
Jitterbugs,"['Laurel and Hardy', ' Vivian Blaine']",['Comedy']
Jive Junction,"['Dickie Moore', ' Tina Thayer']",['Musical']
Johnny Come Lately,"['James Cagney', ' Marjorie Lord']",['Comedy']
Journey into Fear,"['Joseph Cotten', ' Dolores del Río', ' Orson Welles']",['Spy film Thriller']
The Kansan,"['Richard Dix', ' Jane Wyatt', ' Albert Dekker']",['Western']
Keep 'Em Slugging,"['Dead End Kids', ' Elyse Knox']",['Comedy']
Keeper of the Flame,"['Katharine Hepburn', ' Spencer Tracy']",['Drama']
Kid Dynamite,"['Leo Gorcey', ' Huntz Hall', ' Pamela Blake']",['Comedy']
The Kid Rides Again,"['Buster Crabbe', ' Iris Meredith']",['Western']
King of the Cowboys,"['Roy Rogers', ' Peggy Moran']",['Western']
Klondike Kate,"['Ann Savage', ' Tom Neal', ' Glenda Farrell']",['Western']
Ladies' Day,"['Lupe Vélez', ' Eddie Albert']",['Comedy']
Lady Bodyguard,"['Eddie Albert', ' Anne Shirley']",['Comedy']
Lady of Burlesque,"['Barbara Stanwyck', "" Michael O'Shea""]",['Comedy mystery']
A Lady Takes a Chance,"['Jean Arthur', ' John Wayne', ' Phil Silvers']",['Romantic comedy']
Land of Hunted Men,"['Ray Corrigan', ' Max Terhune']",['Western']
Larceny with Music,"['Kitty Carlisle', ' Allan Jones', ' Lee Patrick']",['Musical']
Lassie Come Home,"['Roddy McDowall', ' Donald Crisp', ' May Whitty']",['Family']
Law of the Northwest,"['Charles Starrett', ' Shirley Patterson']",['Western']
Law of the Saddle,"[' Robert Livingston', ' Al St. John']",['Western']
The Law Rides Again,"['Ken Maynard', ' Hoot Gibson']",['Western']
The Leather Burners,"['William Boyd', ' Andy Clyde']",['Western']
The Leopard Man,"[""Dennis O'Keefe"", ' Margo', ' Jean Brooks']",['Horror']
Let's Face It,"['Betty Hutton', ' Bob Hope']",['Comedy']
Let's Have Fun,"['Bert Gordon', ' Margaret Lindsay']",['Musical comedy']
London Blackout Murders,"['John Abbott', ' Anita Bolster']",['Drama']
The Lone Star Trail,"['Johnny Mack Brown', ' Tex Ritter']",['Western']
Lost Angel,"[""Margaret O'Brien"", ' Marsha Hunt']",['Drama']
The Mad Ghoul,"['George Zucco', ' Evelyn Ankers', ' Robert Armstrong']",['Horror']
Madame Curie,"['Greer Garson', ' Walter Pidgeon', ' Henry Travers']",['Biography']
The Man from Down Under,"['Charles Laughton', ' Donna Reed']",['Drama']
The Man from Music Mountain,"['Roy Rogers', ' Ann Gillis']",['Western']
The Man from the Rio Grande,"['Don ""Red"" Barry', ' Wally Vernon']",['Western']
The Man from Thunder River,"['Wild Bill Elliott', ' Anne Jeffreys']",['Western']
Man of Courage,"['Barton MacLane', ' Charlotte Wynters', ' Lyle Talbot']",['Crime']
The Mantrap,"['Henry Stephenson', ' Lloyd Corrigan', ' Dorothy Lovett']",['Mystery']
Margin for Error,"['Joan Bennett', ' Milton Berle', ' Otto Preminger']",['Drama']
The Meanest Man in the World,"['Jack Benny', ' Priscilla Lane']",['Comedy']
Melody Parade,"['Mary Beth Hughes', ' Eddie Quillan']",['Musical']
Mexican Spitfire's Blessed Event,"['Lupe Vélez', ' Leon Errol']",['Comedy']
Minesweeper,"['Richard Arlen', ' Jean Parker']",['War drama']
Mission to Moscow,"['Walter Huston', ' Ann Harding', ' Oskar Homolka']",['War drama']
Mister Big,"[""Donald O'Connor"", ' Gloria Jean', ' Peggy Ryan']",['Musical']
The Moon Is Down,"['Cedric Hardwicke', ' Lee J. Cobb']",['War']
Moonlight in Vermont,"['Gloria Jean', ' Fay Helm']",['Musical']
The More the Merrier,"['Jean Arthur', ' Joel McCrea', ' Charles Coburn']",['Comedy']
Mountain Rhythm,"['Sally Payne', ' Weaver Brothers']",['Comedy']
Mr. Lucky,"['Cary Grant', ' Laraine Day']",['Romance']
Mr. Muggs Steps Out,"['Leo Gorcey', ' Huntz Hall', ' Joan Marsh']",['Comedy']
Murder in Times Square,"['Edmund Lowe', ' Marguerite Chapman']",['Mystery']
Murder on the Waterfront,"['Warren Douglas', ' Ruth Ford']",['Drama']
My Friend Flicka,"['Roddy McDowall', ' Preston Foster', ' Rita Johnson']",['Family']
My Kingdom for a Cook,"['Charles Coburn', ' Marguerite Chapman']",['Comedy']
"My Son, the Hero","['Patsy Kelly', ' Roscoe Karns']",['Comedy']
Mystery of the 13th Guest,"['Helen Parrish', ' Dick Purcell']",['Crime']
The Mysterious Doctor,"['Eleanor Parker', ' John Loder']",['Drama']
Mystery Broadcast,"['Ruth Terry', ' Frank Albertson']",['Suspense']
That Nazty Nuisance,"['Bobby Watson', ' Jean Porter']",['Comedy']
Nearly Eighteen,"['Gale Storm', ' Rick Vallin']",['Comedy']
Never a Dull Moment,"['Ritz Brothers', ' Frances Langford', ' Mary Beth Hughes']",['Musical']
A Night for Crime,"['Glenda Farrell', ' Lyle Talbot', ' Lina Basquette']",['Mystery']
Night Plane from Chungking,"['Robert Preston', ' Ellen Drew']",['War']
Nobody's Darling,"['Mary Lee', ' Louis Calhern']",['Musical']
No Place for a Lady,"['William Gargan', ' Phyllis Brooks']",['Mystery']
No Time for Love,"['Claudette Colbert', ' Fred MacMurray']",['Comedy']
The North Star,"['Anne Baxter', ' Dana Andrews', ' Walter Huston', ' Walter Brennan']",['War']
Northern Pursuit,"['Errol Flynn', ' Julie Bishop']",['War']
Old Acquaintance,"['Bette Davis', ' Miriam Hopkins']",['Drama']
"O, My Darling Clementine","['Roy Acuff', ' Isabel Randolph']",['Musical']
One Dangerous Night,"['Warren William', ' Marguerite Chapman']",['Mystery']
The Outlaw,"['Jane Russell', ' Jack Buetel', ' Walter Huston']",['Western']
Outlaws of Stampede Pass,"['Johnny Mack Brown', ' Raymond Hatton']",['Western']
Overland Mail Robbery,"['Wild Bill Elliott', ' Anne Jeffreys']",['Western']
The Ox-Bow Incident,"['Henry Fonda', ' Dana Andrews', ' Mary Beth Hughes', ' Anthony Quinn']",['Western']
Paris After Dark,"['George Sanders', ' Brenda Marshall']",['War drama']
Passport to Suez,"['Warren William', ' Ann Savage']",['Mystery']
Petticoat Larceny,"['Ruth Warrick', ' Joan Carroll']",['Comedy']
Phantom of the Opera,"['Nelson Eddy', ' Susanna Foster', ' Claude Rains']","['Horror', ' Musical']"
Pilot No. 5,"['Gene Kelly', ' Franchot Tone', ' Van Johnson', ' Marsha Hunt']",['War']
Pistol Packin' Mama,"['Ruth Terry', ' Robert Livingston']",['Comedy']
Power of the Press,"['Guy Kibbee', ' Gloria Dickson', ' Lee Tracy']",['Drama']
The Powers Girl,"['Carole Landis', ' Anne Shirley', ' George Murphy', ' Benny Goodman', ' Peggy Lee']",['Musical comedy']
Prairie Chickens,"['Raymond Hatton', ' Rosemary LaPlanche']",['Western']
Presenting Lily Mars,"['Judy Garland', ' Van Heflin']",['Musical']
Princess O'Rourke,"['Olivia de Havilland', ' Robert Cummings', ' Charles Coburn']",['Romantic comedy']
The Purple V,"['John Archer', ' Peter Lawford']",['Drama']
Raiders of Red Gap,"['Robert Livingston', ' Myrna Dell']",['Western']
Raiders of San Joaquin,"['Johnny Mack Brown', ' Jennifer Holt']",['Western']
Raiders of Sunset Pass,"['Eddie Dew', ' Jennifer Holt']",['Western']
Redhead from Manhattan,['Lupe Vélez'],['Comedy']
The Renegade,"['Buster Crabbe', ' Al St. John']",['Western']
The Return of the Rangers,"[""Dave O'Brien"", ' Guy Wilkerson', "" Nell O'Day""]",['Western']
The Return of the Vampire,"['Bela Lugosi', ' Nina Foch']",['Horror']
Reveille with Beverly,"['Ann Miller', ' Franklin Pangborn', ' Larry Parks']",['Comedy']
Revenge of the Zombies,"['Gale Storm', ' John Carradine']",['Horror']
Rhythm of the Islands,"['Jane Frazee', ' Allan Jones']",['Comedy']
Riders of the Deadline,"['William Boyd', ' Robert Mitchum']",['Western']
Riders of the Northwest Mounted,"['Russell Hayden', ' Dub Taylor']",['Western']
"
",['Howard Bretherton'],"['Bob Steele', ' Tom Tyler']"
Republic,['Riding High'],['George Marshall']
Comedy,['Robin Hood of the Range'],['William Berke']
Western,['Rookies in Burma'],['Leslie Goodwins']
Saddles and Sagebrush,"['Russell Hayden', ' Ann Savage']",['Western']
Sagebrush Law,"['Tim Holt', ' Joan Barclay']",['Western']
Sahara,['Humphrey Bogart'],['ActionWar']
The Saint Meets the Tiger,"['Hugh Sinclair', ' Jean Gillie']",['Mystery']
Salute to the Marines,"['Wallace Beery', ' Fay Bainter']",['War drama Propaganda']
Salute for Three,"['Betty Jane Rhodes', ' Macdonald Carey']",['Musical']
Santa Fe Scouts,"['Bob Steele', ' Tom Tyler', ' Lois Collier']",['Western']
Sarong Girl,"['Ann Corio', ' Tim Ryan', ' Irene Ryan']",['Musical comedy']
A Scream in the Dark,"['Robert Lowery', ' Marie McDonald']",['Suspense']
The Seventh Victim,"['Tom Conway', ' Jean Brooks', ' Isabel Jewell', ' Kim Hunter', ' Hugh Beaumont']",['Horror']
Shadow of a Doubt,"['Teresa Wright', ' Joseph Cotten', ' Macdonald Carey', ' Hume Cronyn']",['Film noir']
Shantytown,"['Mary Lee', ' Marjorie Lord']",['Crime']
