Abbott and Costello Meet Frankenstein,"['Bud Abbott', ' Lou Costello', ' Lon Chaney Jr.', ' Bela Lugosi', ' Glenn Strange']","['Comedy', ' Horror']"
Six-Gun Law,"['Charles Starrett', ' Nancy Saunders']",['Western']
Sixteen Fathoms Deep,"['Lloyd Bridges', ' Lon Chaney Jr.']",['Adventure']
"Sleep, My Love","['Claudette Colbert', ' Don Ameche', ' Robert Cummings']",['Drama']
Slippy McGee,"['Don ""Red"" Barry', ' Dale Evans']",['Crime']
Smart Girls Don't Talk,"['Virginia Mayo', ' Bruce Bennett']",['Crime']
Smart Politics,"['June Preisser', ' Frankie Darro', ' Noel Neill']",['Musical']
Smart Woman,"['Constance Bennett', ' Brian Aherne']",['Drama']
Smoky Mountain Melody,"['Roy Acuff', ' Russell Arms']",['Musical western']
Smugglers' Cove,"['Leo Gorcey', ' Huntz Hall', ' Amelita Ward']",['Comedy']
The Snake Pit,"['Olivia de Havilland', ' Leo Genn']",['Drama']
So Evil My Love,"['Ray Milland', ' Geraldine Fitzgerald']",['Drama']
So This Is New York,"['Henry Morgan', ' Rudy Vallee', ' Virginia Grey']",['Comedy']
Sofia,"['Patricia Morison', ' Sigrid Gurie']",['Drama']
Son of God's Country,"['Monte Hale', ' Pamela Blake']",['Western']
A Song Is Born,"['Danny Kaye', ' Virginia Mayo', ' Tommy Dorsey', ' Benny Goodman']",['Musical']
Song of the Drifter,"['Jimmy Wakely', ' Dub Taylor', ' Mildred Coles']",['Western']
Song of Idaho,"['Kirby Grant', ' June Vincent']",['Western']
Song of My Heart,"['Audrey Long', ' Cedric Hardwicke']",['Biographical']
Sons of Adventure,"['Lynne Roberts', ' Russell Hayden']",['Western']
"Sorry, Wrong Number","['Barbara Stanwyck', ' Burt Lancaster']",['Film noir']
A Southern Yankee,"['Red Skelton', ' Arlene Dahl']",['Comedy']
Speed to Spare,"['Richard Arlen', ' Jean Rogers']",['Drama']
Stage Struck,"['Conrad Nagel', ' Kane Richmond']",['Crime']
State of the Union ,"['Spencer Tracy', ' Katharine Hepburn']",['Drama']
Station West,"['Dick Powell', ' Jane Greer']",['Western']
Strange Gamble,"['William Boyd', ' Elaine Riley']",['Western']
The Strange Mrs. Crane,"['Marjorie Lord', ' Robert Shayne']",['Film Noir']
The Strawberry Roan,"['Gene Autry', ' Gloria Henry']",['Western']
Street Corner ,"['Johnny Duncan', ' Eddie Gribbon']",['Drama']
The Street with No Name,"['Mark Stevens', ' Richard Widmark', ' Lloyd Nolan']",['Film noir']
Strike It Rich,"['Rod Cameron', ' Bonita Granville']",['Comedy']
Summer Holiday,"['Mickey Rooney', ' Gloria DeHaven']",['Musical']
Sundown in Santa Fe,"['Allan Lane', ' Eddy Waller']",['Western']
Sunset Carson Rides Again,"['Sunset Carson', ' Dan White']",['Western']
Sword of the Avenger,['Sigrid Gurie'],['Adventure']
The Swordsman,"['Larry Parks', ' Ellen Drew']",['Adventure']
Tap Roots,"['Van Heflin', ' Susan Hayward']",['Drama']
Tarzan and the Mermaids,"['Johnny Weissmuller', ' Brenda Joyce', ' Linda Christian', ' Andrea Palma']",['Adventure']
The Tender Years,"['Joe E. Brown', ' Noreen Nash']",['Drama']
Tenth Avenue Angel,"[""Margaret O'Brien"", ' Angela Lansbury']",['Drama']
"Texas, Brooklyn and Heaven","['Diana Lynn', ' Guy Madison']",['Romance']
That Lady in Ermine,"['Betty Grable', ' Douglas Fairbanks Jr.']",['Musical']
That Wonderful Urge,"['Tyrone Power', ' Gene Tierney']",['Comedy']
They Live by Night,"[""Cathy O'Donnell"", ' Farley Granger']",['Crime drama']
13 Lead Soldiers,"['Tom Conway', ' Maria Palmer', ' Helen Westcott']",['Mystery']
Three Daring Daughters,"['Jeanette MacDonald', ' Jane Powell']",['Musical']
3 Godfathers,"['John Wayne', ' Harry Carey Jr.', ' Pedro Armendáriz', ' Mae Marsh']",['Western']
The Three Musketeers,"['Gene Kelly', ' Van Heflin', ' Lana Turner', ' June Allyson', ' Angela Lansbury']",['Adventure']
Thunder in the Pines,"['George Reeves', ' Ralph Byrd']",['Action']
Thunderhoof,"['Preston Foster', ' Mary Stuart']",['Western']
The Tioga Kid,"['Eddie Dean', ' Roscoe Ates', ' Jennifer Holt']",['Western']
The Timber Trail,"['Monte Hale', ' Lynne Roberts']",['Western']
The Time of Your Life,"['James Cagney', ' William Bendix', ' Wayne Morris', ' Jeanne Cagney']","['Comedy', ' drama']"
To the Ends of the Earth,"['Dick Powell', ' Signe Hasso']",['Crime thriller']
To the Victor,"['Dennis Morgan', ' Viveca Lindfors']",['Drama']
Tornado Range,"['Eddie Dean', ' Roscoe Ates', ' Jennifer Holt']",['Western']
Trail to Laredo,"['Charles Starrett', ' Smiley Burnette']",['Western']
Train to Alcatraz,"['Don ""Red"" Barry', ' Janet Martin']",['Action']
Trapped by Boston Blackie,"['Charles Marion', ' June Vincent']",['Mystery']
The Treasure of the Sierra Madre,"['Humphrey Bogart', ' Walter Huston', ' Tim Holt', ' Bruce Bennett']",['Adventure']
Triggerman,"['Johnny Mack Brown', ' Raymond Hatton', ' Virginia Carroll']",['Western']
Triple Threat,"['Gloria Henry', ' Mary Stuart']",['Drama']
Trouble Makers,"['Leo Gorcey', ' Huntz Hall', ' Helen Parrish']",['Comedy']
Trouble Preferred,"['Peggy Knudsen', ' Lynne Roberts']",['Drama']
Two Guys from Texas,"['Dennis Morgan', ' Jack Carson']",['Comedy']
Wake of the Red Witch,"['John Wayne', ' Gail Russell']",['Adventure']
Walk a Crooked Mile,"[""Dennis O'Keefe"", ' Louis Hayward']",['Film noir']
Wallflower,"['Joyce Reynolds', ' Janis Paige']",['Comedy']
The Walls of Jericho,"['Cornel Wilde', ' Anne Baxter', ' Kirk Douglas']",['Drama']
Waterfront at Midnight,"['Mary Beth Hughes', ' William Gargan']",['Crime']
West of Sonora,"['Charles Starrett', ' Smiley Burnette']",['Western']
Western Heritage,"['Tim Holt', ' Richard Martin', ' Lois Andrews']",['Western']
The Westward Trail,"['Eddie Dean', ' Roscoe Ates']",['Western']
