20 Dates,"['Myles Berkowitz', ' Elisabeth Wagner', ' Tia Carrere']",['Mockumentary']
The Eighteenth Angel,"['Rachael Leigh Cook', ' Christopher McDonald', ' Stanley Tucci']",['Thriller']
Enemy of the State,"['Will Smith', ' Gene Hackman', ' Jon Voight', ' Barry Pepper', ' Regina King', ' Lisa Bonet']",['Action']
Ever After,"['Drew Barrymore', ' Dougray Scott', ' Anjelica Huston']",['Fantasy']
The Faculty,"['Elijah Wood', ' Jordana Brewster', ' Clea DuVall', ' Laura Harris', ' Josh Hartnett', ' Shawn Hatosy', ' Salma Hayek', ' Usher Raymond', ' Famke Janssen', ' Piper Laurie']",['Horror']
Fallen,"['Denzel Washington', ' John Goodman', ' Embeth Davidtz', ' James Gandolfini']",['Thriller']
"The Farm: Angola, USA",['Narrated by Bernard Addison'],['Documentary']
Fear and Loathing in Las Vegas,"['Johnny Depp', ' Benicio del Toro']",['Comedy']
Finding Graceland,"['Harvey Keitel', ' Johnathon Schaech', ' Bridget Fonda', ' Gretchen Mol']",['Drama']
Firestorm,"['Howie Long', ' Scott Glenn', ' William Forsythe', ' Suzy Amis']",['Action']
The Gingerbread Man,"['Kenneth Branagh', ' Robert Downey', ' Jr.', ' Embeth Davidtz', ' Robert Duvall', ' Daryl Hannah', ' Tom Berenger']",['Drama']
"God Said ""Ha!""",['Julia Sweeney'],['Comedy']
Gods and Monsters,"['Ian McKellen', ' Brendan Fraser', ' Lynn Redgrave', ' Lolita Davidovich']",['Biography']
The Godson,"['Rodney Dangerfield', ' Kevin McDonald', ' Dom DeLuise']",['Comedy']
Godzilla,"['Matthew Broderick', ' Jean Reno', ' Maria Pitillo', ' Hank Azaria', ' Vicki Lewis', ' Kevin Dunn', ' Harry Shearer']",['Science fiction']
Goodbye Lover,"['Patricia Arquette', ' Dermot Mulroney', ' Mary-Louise Parker', ' Ellen DeGeneres']",['Comedy']
Great Expectations,"['Ethan Hawke', ' Gwyneth Paltrow', ' Chris Cooper', ' Hank Azaria']",['Period drama']
The Hairy Bird,"['Kirsten Dunst', ' Gaby Hoffmann', ' Lynn Redgrave']",['Comedy']
Half Baked,"['Dave Chappelle', ' Jim Breuer', ' Guillermo Diaz', ' Harland Williams', ' Clarence Williams III']",['Comedy']
Halloween H20: 20 Years Later,"['Jamie Lee Curtis', ' Adam Arkin', ' Michelle Williams', ' Josh Hartnett', ' LL Cool J', ' Joseph Gordon-Levitt', "" Jodi Lyn O'Keefe""]",['Horror']
Happiness,"['Philip Seymour Hoffman', ' Dylan Baker', ' Ben Gazzara', ' Camryn Manheim', ' Jane Adams']",['Drama']
Hard Rain,"['Morgan Freeman', ' Christian Slater', ' Randy Quaid', ' Minnie Driver']",['Action']
He Got Game,"['Denzel Washington', ' Ray Allen', ' Milla Jovovich', ' John Turturro']",['Sports drama']
Hell's Kitchen,"['Angelina Jolie', ' Mekhi Phifer', ' Rosanna Arquette']",['Drama']
The Hi-Lo Country,"['Billy Crudup', ' Woody Harrelson', ' Patricia Arquette', ' Penélope Cruz', ' Sam Elliott']",['Western']
High Art,"['Radha Mitchell', ' Ally Sheedy', ' Patricia Clarkson']",['Drama']
Holy Man,"['Eddie Murphy', ' Jeff Goldblum', ' Kelly Preston', ' Robert Loggia', ' Morgan Fairchild']",['Comedy']
Home Fries,"['Drew Barrymore', ' Luke Wilson', "" Catherine O'Hara"", ' Jake Busey']",['Comedy']
Homegrown,"['John Lithgow', ' Billy Bob Thornton', ' Hank Azaria', ' Kelly Lynch']",['Comedy']
Hope Floats,"['Sandra Bullock', ' Harry Connick', ' Jr.', ' Gena Rowlands']",['Drama']
The Horse Whisperer,"['Robert Redford', ' Kristin Scott Thomas', ' Sam Neill', ' Chris Cooper', ' Dianne Wiest', ' Scarlett Johansson']",['Drama']
How Stella Got Her Groove Back,"['Angela Bassett', ' Taye Diggs', ' Whoopi Goldberg', ' Regina King']",['Drama']
How to Make the Cruelest Month,"['Clea DuVall', ' Gabriel Mann', ' J. D. Souther']",['Comedy']
Hurlyburly,"['Sean Penn', ' Kevin Spacey', ' Chazz Palminteri', ' Garry Shandling', ' Meg Ryan']",['Drama']
Hush,"['Gwyneth Paltrow', ' Jessica Lange', ' Johnathon Schaech']",['Thriller']
I Got the Hook Up,"['Master P', ' Anthony Johnson', "" Tommy 'Tiny' Lister""]",['Comedy']
I Still Know What You Did Last Summer,"['Jennifer Love Hewitt', ' Brandy Norwood', ' Freddie Prinze', ' Jr.', ' Mekhi Phifer', ' Matthew Settle']",['Horror']
I'll Be Home For Christmas,"['Jonathan Taylor Thomas', ' Gary Cole', ' Jessica Biel']",['Family']
Illuminata,"['John Turturro', ' Katherine Borowitz', ' Christopher Walken', ' Susan Sarandon']",['Rom com']
The Impostors,"['Oliver Platt', ' Stanley Tucci', ' Alfred Molina', ' Billy Connolly', ' Tony Shalhoub', ' Hope Davis']",['Comedy']
Jack Frost,"['Michael Keaton', ' Kelly Preston', ' Joseph Cross', ' Mark Addy', ' Henry Rollins']",['Fantasy']
Jane Austen's Mafia!,"['Jay Mohr', ' Christina Applegate', ' Olympia Dukakis', ' Lloyd Bridges']",['Parody']
Judas Kiss,"['Alan Rickman', ' Emma Thompson', ' Roscoe Lee Browne', ' Carla Gugino']",['Crime']
