3 Ring Circus,"['Dean Martin', ' Jerry Lewis', ' Zsa Zsa Gabor', ' Joanne Dru']",['Musical comedy']
Destry,"['Audie Murphy', ' Mari Blanchard']",['Western']
Devil May Hare,['Bugs Bunny'],['Animated']
Dial M for Murder,"['Grace Kelly', ' Ray Milland', ' Robert Cummings', ' Anthony Dawson', ' John Williams']",['Suspense']
Dixieland Droopy,[''],['Animated']
Dog Pounded,[''],['Animation']
Down Three Dark Streets,"['Broderick Crawford', ' Ruth Roman']",['Crime drama']
Downhearted Duckling,[''],['Animated']
Dragnet,['Jack Webb'],['Film noir']
Dragon's Gold,"['John Archer', ' Hillary Brooke']",['Crime']
Dragonfly Squadron,"['John Hodiak', ' Barbara Britton']",['War']
Drive a Crooked Road,"['Mickey Rooney', ' Dianne Foster', ' Kevin McCarthy']",['Crime']
Drum Beat,"['Alan Ladd', ' Audrey Dalton', ' Marisa Pavan']",['Western']
Drums Across the River,"['Audie Murphy', ' Lisa Gaye']",['Western']
Drums of Tahiti,"['Patricia Medina', "" Dennis O'Keefe""]",['Adventure3-D']
Duffy of San Quentin,"['Joanne Dru', ' Louis Hayward']",['Drama']
The Egyptian,"['Jean Simmons', ' Victor Mature', ' Gene Tierney', ' Michael Wilding', ' Peter Ustinov']",['Adventure']
Elephant Walk,"['Elizabeth Taylor', ' Dana Andrews', ' Peter Finch']",['Adventure']
Executive Suite,"['William Holden', ' Barbara Stanwyck', ' Fredric March', ' June Allyson', ' Walter Pidgeon', ' Paul Douglas', ' Shelley Winters', ' Louis Calhern', ' Nina Foch']",['Drama']
Fangs of the Wild,"['Charles Chaplin Jr.', ' Onslow Stevens', ' Margia Dean']",['AdventureWestern']
Fireman Save My Child,"[""Hugh O'Brian"", ' Buddy Hackett', ' Adele Jergens']",['Comedy']
Flame and the Flesh,"['Lana Turner', ' Pier Angeli']",['Drama']
The Forty-Niners,"['Bill Elliott', ' Virginia Grey']",['Western']
Four Guns to the Border,"['Rory Calhoun', ' Colleen Miller', ' Nina Foch']",['Western']
Francis Joins the WACS,"[""Donald O'Connor"", ' Julie Adams', ' Mamie Van Doren']",['Comedy']
The French Line,"['Jane Russell', ' Gilbert Roland']",['Musical']
The Gambler from Natchez,"['Dale Robertson', ' Debra Paget']",['Drama']
Garden of Evil,"['Gary Cooper', ' Susan Hayward', ' Richard Widmark']",['Western']
The Glenn Miller Story,"['James Stewart', ' June Allyson', ' Charles Drake', ' George Tobias', ' Harry Morgan']","['Biography', ' Musical']"
Go Man Go,"['Dane Clark', ' Sidney Poitier', ' Ruby Dee']",['Sports']
Gog,"['Richard Egan', ' Herbert Marshall', ' Constance Dowling']",['Sci-fi']
The Golden Idol,"['Johnny Sheffield', ' Anne Kimbell']",['Adventure']
The Golden Mistress,"['John Agar', ' Rosemarie Bowe']",['Adventure']
Gorilla at Large,"['Cameron Mitchell', ' Anne Bancroft', ' Lee J. Cobb']",['Mystery']
The Great Diamond Robbery,"['Red Skelton', ' James Whitmore', ' Cara Williams']",['Comedy']
Green Fire,"['Grace Kelly', ' Stewart Granger', ' Paul Douglas']",['Adventure']
Gunfighters of the Northwest,"['Jock Mahoney', ' Phyllis Coates']",['Serial']
Gypsy Colt,"['Donna Corcoran', ' Ward Bond']",['Family']
Hansel and Gretel: An Opera Fantasy,[''],['Stop motion animation']
Hell and High Water,"['Richard Widmark', ' Bella Darvi']",['Drama']
Hell Below Zero,"['Alan Ladd', ' Stanley Baker', ' Joan Tetzel']",['Adventure']
Hell's Half Acre,"['Evelyn Keyes', ' Wendell Corey']",['Crime']
Hell's Outpost,"['Rod Cameron', ' Joan Leslie']",['Drama']
Her Twelve Men,"['Greer Garson', ' Robert Ryan', ' Barry Sullivan']",['Comedy']
The High and the Mighty,"['John Wayne', ' Robert Stack', ' Laraine Day', ' Claire Trevor', ' Jan Sterling', ' Robert Newton', ' Sidney Blackmer', ' Phil Harris', ' Paul Fix', ' Doe Avedon']",['Drama']
Highway Dragnet,"['Richard Conte', ' Joan Bennett', ' Wanda Hendrix']",['Crime drama']
His Majesty O'Keefe,"['Burt Lancaster', ' Joan Rice', ' André Morell']",['Adventure']
The House in the Middle,[''],['Short subject']
Human Desire,"['Glenn Ford', ' Gloria Grahame', ' Broderick Crawford']",['Suspense']
The Human Jungle,"['Gary Merrill', ' Jan Sterling']",['Crime']
Inauguration of the Pleasure Dome,['Anaïs Nin'],['Drama']
The Iron Glove,"['Robert Stack', ' Ursula Thiess']",['Adventure']
It Should Happen to You,"['Judy Holliday', ' Peter Lawford', ' Jack Lemmon']",['Comedy']
Jail Bait,"['Dolores Fuller', ' Steve Reeves']",['Drama']
Jesse James vs. the Daltons,"['Brett King', ' Barbara Lawrence']",['Western']
Jesse James' Women,"['Peggie Castle', ' Don ""Red"" Barry']",['Western']
Jivaro,"['Fernando Lamas', ' Rhonda Fleming', ' Brian Keith']",['Adventure']
Johnny Dark,"['Tony Curtis', ' Piper Laurie']",['Drama']
Johnny Guitar,"['Joan Crawford', ' Sterling Hayden', ' Mercedes McCambridge', ' Ernest Borgnine', ' Ward Bond']",['Western']
Jubilee Trail,"['John Russell', ' Joan Leslie']",['Western']
Jungle Gents,"['Leo Gorcey', ' Huntz Hall', ' Laurette Luez']",['Comedy']
Jungle Man-Eaters,"['Johnny Weissmuller', ' Karin Booth']",['Adventure']
Khyber Patrol,"['Richard Egan', ' Dawn Addams', ' Raymond Burr']",['Adventure']
Killer Leopard,"['Johnny Sheffield', ' Beverly Garland']",['Adventure']
Killers from Space,"['Peter Graves', ' James Seay']",['Sci-fi']
King Richard and the Crusaders,"['Rex Harrison', ' Virginia Mayo', ' George Sanders']",['Adventure']
Knock on Wood,"['Danny Kaye', ' Mai Zetterling']",['Comedy']
The Last Time I Saw Paris,"['Van Johnson', ' Elizabeth Taylor', ' Donna Reed']",['Romance']
The Law vs. Billy the Kid,"['Scott Brady', ' Betta St. John']",['Western']
The Lawless Rider,"['Johnny Carpenter', ' Noel Neill']",['Western']
A Life at Stake,"['Angela Lansbury', ' Keith Andes', ' Douglas Dumbrille']",['Film noir']
Little School Mouse,['Tom and Jerry'],['Animation']
Living It Up,"['Dean Martin', ' Jerry Lewis', ' Janet Leigh']",['Comedy']
The Lone Gun,"['George Montgomery', ' Dorothy Malone']",['Western']
"The Long, Long Trailer","['Lucille Ball', ' Desi Arnaz']",['Comedy']
The Long Wait,"['Anthony Quinn', ' Charles Coburn', ' Peggie Castle']",['Film noir']
Loophole,"['Barry Sullivan', ' Dorothy Malone', ' Charles McGraw']",['Film noir']
Lucky Me,"['Doris Day', ' Phil Silvers']",['Musical']
Ma and Pa Kettle at Home,"['Marjorie Main', ' Percy Kilbride', ' Alan Mowbray']",['Comedy']
The Mad Magician,"['Vincent Price', ' Eva Gabor']",['Thriller']
Magic Brush,[''],['Animation']
Make Haste to Live,"['Dorothy McGuire', ' Stephen McNally']",['Suspense']
Magnificent Obsession,"['Rock Hudson', ' Jane Wyman', ' Agnes Moorehead', ' Otto Kruger', ' Barbara Rush']",['Drama']
Man with the Steel Whip,"['Dick Simmons', ' Dale Van Sickel']",['Serial']
Massacre Canyon,"['Philip Carey', ' Audrey Totter']",['Western']
Masterson of Kansas,"['George Montgomery', ' Nancy Gates']",['Western']
Men of the Fighting Lady,"['Van Johnson', ' Walter Pidgeon', ' Frank Lovejoy']",['War']
The Miami Story,"['Barry Sullivan', ' Luther Adler']",['Film noir']
Miss Robin Crusoe,"['Amanda Blake', ' George Nader']",['Adventure']
Monster from the Ocean Floor,"['Anne Kimbell', ' Stuart Wade']",['Science fiction']
Naked Alibi,"['Sterling Hayden', ' Gloria Grahame', ' Gene Barry']",['Film noir']
The Naked Jungle,"['Charlton Heston', ' Eleanor Parker']",['Adventure']
New Faces,"['Ronny Graham', ' Eartha Kitt']",['Musical']
Night People,"['Gregory Peck', ' Broderick Crawford', ' Anita Bjork', ' Rita Gam', ' Walter Abel', ' Buddy Ebsen']",['Drama']
On the Waterfront,"['Marlon Brando', ' Eva Marie Saint', ' Karl Malden', ' Rod Steiger', ' Lee J. Cobb']",['Drama']
The Other Woman,"['Cleo Moore', ' Hugo Haas']",['Drama']
The Outcast,"['John Derek', ' Joan Evans', ' Jim Davis']",['Western']
The Outlaw's Daughter,"['Bill Williams', ' Jim Davis']",['Western']
The Outlaw Stallion,"['Philip Carey', ' Dorothy Patrick']",['Western']
Overland Pacific,"['Jock Mahoney', ' Peggie Castle', ' Adele Jergens']",['Western']
Paris Playboys,"['Leo Gorcey', ' Huntz Hall']",['Comedy']
Passion,"['Cornel Wilde', ' Yvonne De Carlo', ' Raymond Burr']",['Western']
Phantom of the Rue Morgue,"['Karl Malden', ' Claude Dauphin', ' Patricia Medina']",['Mystery']
Phantom Stallion,"['Rex Allen', ' Carla Balenda']",['Western']
Phffft!,"['Judy Holliday', ' Jack Lemmon', ' Jack Carson']",['Romantic comedy']
Playgirl,"['Shelley Winters', ' Colleen Miller']",['Film noir']
Port of Hell,"['Dane Clark', ' Carole Mathews']",['Drama']
Pride of the Blue Grass,"['Lloyd Bridges', ' Vera Miles']",['Drama']
Prince Valiant,"['James Mason', ' Janet Leigh', ' Robert Wagner']",['Adventure']
Princess of the Nile,"['Debra Paget', ' Jeffrey Hunter', ' Michael Rennie']",['Adventure']
Prisoner of War,"['Ronald Reagan', ' Steve Forrest', ' Oscar Homolka']",['War drama']
Private Hell 36,"['Ida Lupino', ' Howard Duff']",['Film noir']
Pushover,"['Fred MacMurray', ' Kim Novak', ' Philip Carey', ' Dorothy Malone']",['Film noir']
Racing Blood,"['Bill Williams', ' Jean Porter']",['Drama']
The Raid,"['Van Heflin', ' Anne Bancroft', ' Richard Boone', ' Lee Marvin']",['Western']
Rails Into Laramie,"['John Payne', ' Mari Blanchard', ' Dan Duryea']",['Western']
Rear Window,"['Grace Kelly', ' James Stewart', ' Thelma Ritter', ' Wendell Corey', ' Raymond Burr']",['Film noir']
Red Garters,"['Rosemary Clooney', ' Jack Carson', ' Guy Mitchell', ' Gene Barry']",['Musical']
Return from the Sea,"['Jan Sterling', ' Neville Brand']",['Drama']
Return to Treasure Island,"['Tab Hunter', ' Dawn Addams', ' Porter Hall']",['Adventure']
Rhapsody,"['Elizabeth Taylor', ' Vittorio Gassman']",['Drama']
Ricochet Romance,"['Marjorie Main', ' Chill Wills']",['Western comedy']
Ride Clear of Diablo,"['Audie Murphy', ' Dan Duryea', ' Susan Cabot', ' Russell Johnson']",['Western']
Riders to the Stars,"['William Lundigan', ' Martha Hyer', ' Dawn Addams']",['Science fiction']
Riding Shotgun,"['Randolph Scott', ' Joan Weldon']",['Western']
Ring of Fear,"['Clyde Beatty', ' Mickey Spillane', "" Pat O'Brien""]",['Mystery']
Riot in Cell Block 11,"['Neville Brand', ' Frank Faylen', ' Leo Gordon']",['Film noir']
River of No Return,"['Robert Mitchum', ' Marilyn Monroe', ' Rory Calhoun']",['Western']
Robinson Crusoe,"[""Dan O'Herlihy""]",['Adventure']
The Rocket Man,"['Charles Coburn', ' Anne Francis']",['Comedy']
Rogue Cop,"['Robert Taylor', ' George Raft', ' Janet Leigh']",['Film noir']
