Abe Lincoln in Illinois,"['Raymond Massey', ' Gene Lockhart', ' Ruth Gordon']","['Drama', ' Biography']"
Dr. Ehrlich's Magic Bullet,"['Edward G. Robinson', ' Ruth Gordon', ' Otto Kruger']",['Biography']
Dr. Kildare's Crisis,"['Lew Ayres', ' Laraine Day', ' Robert Young']",['Drama']
Dreaming Out Loud,"['Lum and Abner', ' Frances Langford']",['Comedy']
Drums of the Desert,"['Ralph Byrd', ' Lorna Gray']",['Western']
Dulcy,"['Ann Sothern', ' Roland Young']",['Comedy']
The Earl of Chicago,['Robert Montgomery'],['Comedy']
Earthbound,"['Andrea Leeds', ' Warner Baxter']",['Drama']
East of the River,"['John Garfield', ' Marjorie Rambeau']",['Drama']
East Side Kids,"['Leon Ames', ' Dennis Moore', ' Joyce Bryant']",['Comedy']
"Edison, the Man","['Spencer Tracy', ' Rita Johnson', ' Lynne Overman']",['Biographical']
Elmer's Candid Camera,"['Mel Blanc', ' Arthur Q. Bryan']",['Animated']
Escape,"['Norma Shearer', ' Robert Taylor', ' Conrad Veidt']",['Drama']
Eyes of the Navy,['Charles B. Middleton'],['Short Documentary']
Fantasia,"['Leopold Stokowski', ' Deems Taylor']",['Animated']
The Fargo Kid,"['Tim Holt', ' Ray Whitley']",['Western']
The Fatal Hour,"['Boris Karloff', ' Marjorie Reynolds', ' Grant Withers']",['Thriller']
Father Is a Prince,"['John Litel', ' Jan Clayton', ' George Reeves']",['Drama']
The Fight for Life,"['Myron McCormick', ' Will Geer']",['Drama']
The Fighting 69th,"['James Cagney', "" Pat O'Brien"", ' George Brent']",['War']
Five Little Peppers in Trouble,['Edith Fellows'],['Comedy']
Flight Angels,"['Virginia Bruce', ' Jane Wyman', ' Ralph Bellamy']",['Drama']
Flight Command,"['Robert Taylor', ' Ruth Hussey', ' Walter Pidgeon']",['War']
Florian,"['Robert Young', ' Charles Coburn']",['Drama']
Flowing Gold,"['John Garfield', ' Frances Farmer', "" Pat O'Brien""]",['Adventure']
Foreign Correspondent,"['Joel McCrea', ' Laraine Day', ' Herbert Marshall']",['Spy thriller']
Forgotten Girls,"['Louise Platt', ' Donald Woods']",['Drama']
Forty Little Mothers,"['Eddie Cantor', ' Judith Anderson']",['Drama']
Four Sons,"['Don Ameche', ' Eugenie Leontovich', ' Mary Beth Hughes']",['Drama War']
Framed,"['Frank Albertson', ' Constance Moore']","['Crime', ' Drama']"
"Free, Blonde and 21","['Lynn Bari', ' Joan Davis', '  Mary Beth Hughes']",['Comedy']
From Nurse to Worse,['The Three Stooges'],['Comedy  Short']
A Fugitive from Justice,"['Roger Pryor', ' Lucile Fairbanks', ' Eddie Foy Jr.']",['Crime drama']
Gallant Sons,"['Jackie Cooper', ' Gail Patrick']",['Drama']
Gambling on the High Seas,"['Wayne Morris', ' Jane Wyman']",['Drama']
