48 Hrs.,"['Nick Nolte', ' Eddie Murphy', "" Annette O'Toole"", ' James Remar', ' David Patrick Kelly']",['Crime comedy']
A Midsummer Night's Sex Comedy,"['Mia Farrow', ' Woody Allen', ' José Ferrer', ' Julie Hagerty', ' Mary Steenburgen', ' Tony Roberts']",['Comedy']
Missing,"['Jack Lemmon', ' Sissy Spacek', ' John Shea']","['Drama', ' Biography']"
Monsignor,"['Christopher Reeve', ' Geneviève Bujold', ' Fernando Rey']",['Drama']
Mother Lode,"['Charlton Heston', ' Kim Basinger', ' Nick Mancuso']",['Adventure']
My Favorite Year,"[""Peter O'Toole"", ' Mark Linn-Baker', ' Joseph Bologna', ' Lainie Kazan', ' Jessica Harper', ' Bill Macy']",['Comedy']
Night Crossing,"['Jane Alexander', ' Beau Bridges']",['Drama']
Night Shift,"['Henry Winkler', ' Michael Keaton', ' Shelley Long']",['Comedy']
An Officer and a Gentleman,"['Richard Gere', ' Louis Gossett', ' Jr.', ' Debra Winger', ' David Keith', ' Lisa Blount']",['Drama']
One from the Heart,"['Teri Garr', ' Frederic Forrest', ' Nastassja Kinski', ' Raúl Juliá']","['Drama', ' Musical']"
Pandemonium,"['Tom Smothers', ' Paul Reubens', ' Carol Kane']",['Comedy']
Parasite,"['Demi Moore', ' Robert Glaudini']",['Horror']
Partners,"['John Hurt', "" Ryan O'Neal""]",['Comedy']
Personal Best,"['Mariel Hemingway', ' Scott Glenn', ' Patrice Donnelly']","['Drama', ' Sports']"
Piranha II: The Spawning,"[""Tricia O'Neil"", ' Lance Henriksen']",['Horror']
Poltergeist,"['Craig T. Nelson', ' Beatrice Straight', ' Dominique Dunne']",['Horror']
Porky's,"['Kim Cattrall', ' Mark Herrier', ' Wyatt Knight']",['Comedy']
Q,"['Michael Moriarty', ' Candy Clark', ' Richard Roundtree']",['Sci-fi']
Richard Pryor: Live on the Sunset Strip,['Richard Pryor'],['Comedy']
Rocky III,"['Sylvester Stallone', ' Carl Weathers', ' Talia Shire', ' Burgess Meredith', ' Burt Young', ' Mr. T', ' Hulk Hogan']",['Drama']
