,cover_id,title,author,year,genre,genre_alts
20,5437853,Fundamentals Of Electricity And Magnetism,McGraw-Hill,,Science,"['Study and teaching (Secondary)', 'Life sciences', 'Science', 'Accessible book', 'Earth sciences', 'Study and teaching (Middle school)', 'Protected DAISY', 'Physical sciences', 'Chemistry']"
21,6134550,Sämtliche Werke,Johann Wolfgang von Goethe,,Science,"['Men', 'English Translations', 'Knowledge', 'German Aesthetics', 'Travel', 'German Maxims', 'Music', 'German Erotic poetry', 'Music in literature', 'Literature', 'German Authors', 'Accessible book', 'Philosophy', 'Calendars', 'Literary calendars', 'German National characteristics', 'Characters', 'Translations into Catalan', 'Women', 'Science', 'History and criticism', 'Men in literature', 'Aesthetics', 'Art', 'Translations into English', 'Quotations', 'Biography', 'Women in literature']"
22,None,Inspecting post-16,Ofsted.,,Science,"['Hospitality industry', 'Languages, Modern', 'Sociology', 'Psychology', 'Beauty operators', 'Music', 'Educational evaluation', 'Mathematics', 'Curriculum evaluation', 'Foreign speakers', 'Caterers and catering', 'Modern Languages', 'Study and teaching', 'Business education', 'Health education', 'Hairdressing', 'Tourism', 'Information technology', 'Political science', 'Science', 'Religious education', 'English language', 'Drama', 'Communication', 'History', 'Study and teaching (Secondary)', 'Law', 'Art', 'Physical education and training', 'Dance', 'Classical languages', 'Engineering', 'Instruction and study', 'Agriculture', 'Geography']"
23,6591704,Independent Learning Project for Advanced Chemistry,ILEA Chemistry Project Team,,Science,"['Organic Chemistry', 'Hydrocarbons', 'Chemical equilibrium', 'Science', 'Gases', 'Periodic law', 'Intermolecular forces', 'Transition metals', 'Chemistry', 'Conditions and laws of Chemical reaction']"
24,4764375,Classification,Library of Congress. Subject Cataloging Division.,,Science,"['Philosophy', 'Bibliography', 'Book classification', 'Russian literature', 'German literature', 'Modern Greek literature', 'Library of Congress Classification', 'Methodology', 'Music', 'Archives', 'Medicine', 'Heraldry', 'Literature', 'Modern Languages', 'Diplomatics', 'English literature', ""Children's literature"", 'Medieval and modern Latin literature', 'Byzantine literature', 'Law', 'Accessible book', 'Inscriptions', 'Genealogy', 'Modern Philology', 'Science', 'Numismatics', 'Archaeology', 'History', 'Military science', 'Classification', 'American literature', 'Chronology', 'Books', 'Education', 'Biography']"
25,9243234,The variation of animals and plants under domestication,Charles Darwin,,Science,"['Variation (Biology)', 'Nature', 'Science', 'Accessible book', 'Anecdotes', 'Domestic animals', 'Cultivated Plants', 'Nonfiction']"
26,8245283,Prose,Johann Wolfgang von Goethe,,Science,"['History and criticism', 'Collected works', 'Science', 'Accessible book', 'Translations into English', 'Maxims', 'Literature']"
27,313890,New Atlantis,Francis Bacon,,Science,"['Pre-Linnean works', 'Philosophy of nature', 'Philosophy', 'The State', 'Utopias', 'Early works to 1800', 'Political science', 'Science', 'Natural history', 'Education']"
28,5378174,Mein Weltbild,Albert Einstein,,Science,"['Peace', 'Jews', 'Social aspects of Science', 'Social aspects', 'Science', 'Accessible book', 'Philosophy', 'Jews question', 'Protected DAISY', 'Physics', 'Legal status, laws']"
29,None,[Preservation of forests.],United States. Congress. Senate. Committee on Agriculture and Forestry,,Science,"['Horticulture', 'Industries', 'Margarine', 'Deserts', 'Pests', 'Sugar', 'Interstate commerce', 'Fire prevention', 'Pesticides', 'Veterinary medicine', 'Printing', 'Public lands', 'Water-supply', 'Transportation', 'Diseases', 'Business', 'Taxation', 'Agricultural prices', 'Trees', 'United States Fish Commission', 'Agricultural experiment stations', 'Chemicals', 'Sugar trade', 'Science', 'Fishes', 'Government publications', 'Silk', 'Food industry and trade', 'Roads', 'Agricultural productivity', 'Pathology', 'Governmental investigations', 'Meat', 'Beets', 'Sugar laws and legislation', 'Seeds', 'Officials and employees', 'Budget', 'Oils and fats', 'United States', 'Prices', 'Associations, institutions', 'International trade', 'School facilities', 'Accounting', 'Laboratories', 'Farm produce', 'Animal industry', 'Livestock', 'Control', 'Special districts', 'United States. Dept. of Agriculture', 'International relations', 'Industrial concentration', 'Forests and forestry', 'Thistles', 'Fertilizers', 'Treaties', 'Agricultural machinery', 'Manufactures', 'Scarcity', 'Licenses', 'Corporations', 'Arsenic', 'Agriculture', 'Society of American Florists', 'Cotton']"
30,5600250,The botanic garden,Erasmus Darwin,,Science,"['Plants', 'Botany', 'Portland vase', 'Portland vases', 'Poetry. [from old catalog]', 'Science', 'Accessible book', 'Poetry', 'Early works to 1800', 'Natural history']"
31,7035712,"Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften, Mathematisch-naturwissenschaftliche Classe","Kaiserl. Akademie der Wissenschaften in Wien, Mathematisch-Naturwissenschaftliche Klasse",,Science,"['Botany', 'Geology', 'Science', 'Accessible book', 'Mineralogy', 'Periodicals', 'Zoology', 'Paleontology', 'Medicine', 'Mathematics', 'Physiology']"
32,262763,Logik der Forschung,Karl Raimund Popper,,Science,"['Research Design', 'English literature', 'Protected DAISY', 'Accessible book', 'Logica', 'Science', 'SCIENCE', 'Philosophy', 'Metodologia Cientifica', 'METHODOLOGY', 'Sciences', 'Methodology', 'Study and teaching', 'Méthodologie', 'Logic', 'Curricula', 'Logique', 'University of Cambridge']"
33,581911,Biology,Neil Alexander Campbell,,Science,"['Biology', 'Life Sciences - Biology - General', 'Textbooks', 'Biology textbooks', 'Accessible book', 'Biologie', 'Biology, Life Sciences', 'Science textbooks', 'Science', 'Science/Mathematics', 'Biology (General)']"
34,8242973,A history of the warfare of science with theology in Christendom,Andrew Dickson White,,Science,"['Prints', 'Religion and science', 'Science', 'Accessible book', 'History of controversy', 'Gravure', 'History']"
35,9273504,"Worst Journey in the World, Antarctic 1910-1913",Apsley Cherry-Garrard,,Science,"['Manchurian ponies', 'Ptomaine poisoning', 'Temperature', 'mirages', 'Hyperoodon rostrata', 'Travel', 'waves', 'Challenger Expedition', 'Œstrelata trinitatis', 'icebergs', 'Œstrelata arminjoniana', 'sledge runners', 'Helminthology', 'Tremasome', 'sea-cucumber', 'crusts', 'sledges', 'Blue Whale', 'brash', 'frost smoke', 'seals', 'Orca gladiator', 'piedmont', 'land crabs', 'sledge meters', 'Accessible book', 'British Antarctic  Expedition (1910-1913)', 'ice', 'snow-blindness', 'ice-foot', 'penguins', 'sea leopard', 'Open Library Staff Picks', 'killer whales', 'blubber', 'History', 'white-breasted petrel', 'dogs', 'snowy petrel', 'piked whale', 'Bottle-nosed Whale', 'oil', 'bilizzards', 'British', 'Polychaete worms', 'Science', 'Aurora borealis', 'tide crack', 'sastrugi', 'killer whale', 'symptoms of scurvy', 'South Polar Times', 'Adélie penguins', 'nunatak', 'Jackson-Harmsworth Expedition', 'Discovery and exploration', 'mules', 'Skua gulls', 'Nature', 'Portuguese man-of-war', 'sea-urchins', 'dolphins', 'marine biology', 'British discovery and exploration', 'finneksko', 'Emperor Penguins', 'Equator', 'Weddell Seal', 'Kayaks', 'black-breasted petrel', 'British Antarctic (Terra Nova) Expedition (1910-1913)', 'Antarctic Petrel', 'Ross seal', 'crab-eating seal', 'whales', 'Discovery Expedition', 'giant petrel', 'plankton', 'saennegrass', ""Scott's Last Expedition"", 'Nonfiction', 'wind']"
36,5914638,Philosophical essays,Bertrand Russell,,Science,"['Science', 'Addresses, essays, lectures', 'Philosophy', 'Accessible book', 'Mathematics']"
37,None,Adroddiad gan Arolygwyr ei Mawrhydi,Great Britain. Welsh Office. Education Department. Inspectorate.,,Science,"['Languages, Modern', 'Numeracy', 'Capelulo Primary School', 'Ysgol Ysbyty Ifan (Betws-y-Coed, Wales)', 'Ffridd School', 'Bangor University of Wales', 'Training of', 'Music', 'Ysgol Gynradd Bro Gwydir (Llanrwst, Wales)', 'Educational evaluation', 'Mathematics', 'Ysgol Dolwyddelan (Dolwyddelan, Wales)', 'Evaluation', 'Studyand teaching (Secondary)', 'Modern Languages', 'English speakers', 'Study andteaching (Elementary)', 'Study and teaching (Elementary)', 'Ysgol yr Wyddfid (Llandudno, Wales)', 'Study and teaching', 'Ysgol Penbryn (Bethesda, Wales)', 'Ysgol Brynaerau (Pontllyfni, Wales)', 'Ysgol Gynradd Corris (Corris, Wales)', 'Blessed William Davies School (Llandudno, Wales)', 'Foel Gron School', 'Ysgol Ffordd Dyffryn (Llandudno, Wales)', 'Ysgol Santes Helen (Caernarfon, Wales)', 'Science', 'Ysgol Gynradd Llandwrog (Llandwrog, Wales)', 'English language', 'Ysgol Gymuned Y Parc (Y Parc, Wales)', 'Ysgol Llanystumdwy (Llanystumdwy, Wales)', 'Teachers', 'History', 'Study and teaching (Secondary)', 'Llanfawr County Primary School (Holyhead, Wales)', ""Our Lady's School (Bangor, Wales)"", 'University of Wales, Bangor. School of Education', 'Ysgol Gynradd Aberdyfi (Aberdyfi, Wales)', 'Welsh language', 'Ysgol Dyffryn Nantlle (Penygroes, Wales)', 'Geography']"
38,6598795,Foundations of college chemistry,Morris Hein,,Science,"['Textbooks', 'Chemistry textbooks', 'Accessible book', 'Protected DAISY', 'Science textbooks', 'Science', 'Chemistry - General', 'Science/Mathematics', 'Chemistry', 'Chemistry (General)']"
39,5031535,International Review of Cytology,Kwang W. Jeon,,Science,"['Life Sciences', 'Cytology', 'Cell Biology', 'Cell physiology', 'SCIENCE', 'Cells', 'Genes', 'Periodicals', 'Biology', 'Accessible book']"
40,6567508,Sylva sylvarum,Sir Francis Bacon,,Science,"['Utopias', 'Science', 'Accessible book', 'Metals', 'Longevity', 'Pre-Linnean works', 'Early works to 1800', 'Experiments', 'Natural history']"
41,5475424,Prolegomena,Immanuel Kant,,Science,"['Métaphysique', 'Aesthetics', 'Estética', 'Diagnosis', 'Science', 'Accessible book', 'Philosophy', 'Criticism and interpretation', 'Juicio lógico', 'Metafysica', 'Kennistheorie', 'Judgment (Logic)', 'open_syllabus_project', 'Metafísica', 'Épistémologie', 'Theory of Knowledge', 'Metaphysics']"
42,None,Federal research,United States. General Accounting Office,,Science,"['Laboratories', 'Management', 'Federal aid to research', 'Communication of technical information', 'International cooperation', 'Rules and practice', 'Cost control', 'Handbooks, manuals', 'Research', 'National Science Foundation (U.S.)', 'Environmental aspects of Superconducting Super Collider', 'Superconducting Super Collider', 'Labor productivity', 'Peer review', 'Evaluation', 'Universities and colleges', 'United States. Congress. House. Committee on Science', 'Semiconductor industry', 'Government policy', 'Finance', 'United States. Dept. of Energy', 'SEMATECH (Organization)', 'Higher education and state', 'Research grants', 'Superconducting magnets', 'Equipment and supplies', 'Particle accelerators', 'Maintenance and repair', 'Industrial policy', 'Power resources', 'Technology and state', 'Endowment of research', 'Science and state', 'Administrative agencies', 'National security', 'Science', 'Appropriations and expenditures', 'Overhead costs', 'United States', 'Costs', 'United States. National Aeronautics and Space Administration', 'Small business', 'Government Research and development contracts', 'Technological innovations', 'Technology transfer', 'Federal aid to nonprofit organizations', 'National Institute of Standards and Technology (U.S.). Advanced Technology Program', 'Environmental aspects of Proton accelerators', 'United States. Dept. of Defense', 'Scientific bureaus', 'Grants-in-aid', 'National Institute of Standards and Technology (U.S.).', 'Accounting', 'Auditing', 'Supercolliders', 'Proton accelerators']"
43,1243164,Horticultural Reviews,Jules Janick,,Science,"['Horticulture', 'Life Sciences', 'Bibliography', 'Reference', 'SCIENCE', 'Vegetables', 'Periodicals', 'Research', 'Accessible book', 'Protected DAISY', 'GARDENING', 'Essays', 'Peridicals']"
44,5032092,Solid State Physics,Frederick Seitz,,Science,"['Mechanics', 'Constitution', 'Accessible book', 'Collected works', 'SCIENCE', 'Energy', 'Nuclear magnetic resonance', 'Fisica Geral', 'General', 'Matter', 'Solids', 'Condensed Matter', 'Protected DAISY', 'Physics', 'Microwave spectroscopy', 'Solid state physics']"
45,4492445,The wisdom of God manifested in the works of the creation,John Ray,,Science,"['Philosophy', 'Early works to 1900', 'Science', 'Accessible book', 'Creation', 'Religion', 'Early works to 1800', 'Natural theology']"
46,None,Herrn Eugen Dührings Umwälzung der Wissenschaft,Friedrich Engels,,Science,"['Dühring, Eugen Karl, 1833-1921', 'Economics.', 'Economics', 'Marxist Philosophy', 'Science', 'Accessible book', 'Philosophy', 'Socialism in Germany', 'Dialectical materialism', 'Socialism', 'Science and state', 'History']"
